timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T23:59:00.000Z";"2023-08-01T05:52:00.000Z";59.4072724386;59.4656814984;56.1435707211;59.4656814984;144686624.63058752;863508786.7974567;"2023-08-01T23:59:59.999Z"
"2023-07-31T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-31T02:04:00.000Z";"2023-07-31T20:17:00.000Z";64.3214536506;65.4271085934;58.5315834193;59.4028485431;125363801.91305842;859495587.5559976;"2023-07-31T23:59:59.999Z"
"2023-07-30T00:00:00.000Z";"2023-07-30T23:59:59.999Z";"2023-07-30T15:07:00.000Z";"2023-07-30T20:16:00.000Z";67.4722386156;67.8839859659;63.7045090483;64.3226837306;71723131.30321483;931447251.6106079;"2023-07-30T23:59:59.999Z"
"2023-07-29T00:00:00.000Z";"2023-07-29T23:59:59.999Z";"2023-07-29T23:33:00.000Z";"2023-07-29T16:46:00.000Z";66.050686963;67.793189462;65.4592217918;67.4732330806;46295048.070354894;977713954.4775027;"2023-07-29T23:59:59.999Z"
"2023-07-28T00:00:00.000Z";"2023-07-28T23:59:59.999Z";"2023-07-28T15:07:00.000Z";"2023-07-28T00:00:00.000Z";65.91864593;66.8709621347;65.91864593;66.0514252421;47470132.55952966;961734206.9074227;"2023-07-28T23:59:59.999Z"
"2023-07-27T00:00:00.000Z";"2023-07-27T23:59:59.999Z";"2023-07-27T09:50:00.000Z";"2023-07-27T00:11:00.000Z";64.9995702143;67.3852615858;64.7741517043;65.9183569296;63701983.91908886;946535803.4311225;"2023-07-27T23:59:59.999Z"
"2023-07-26T00:00:00.000Z";"2023-07-26T23:59:59.999Z";"2023-07-26T23:13:00.000Z";"2023-07-26T02:19:00.000Z";63.4662545714;65.599836488;62.7932017519;65.0007130396;60932648.30889596;944210980.5453908;"2023-07-26T23:59:59.999Z"
"2023-07-25T00:00:00.000Z";"2023-07-25T23:59:59.999Z";"2023-07-25T14:17:00.000Z";"2023-07-25T08:46:00.000Z";63.5291852935;64.6322427278;63.1308070727;63.4675393781;41033143.67725666;918508560.3921809;"2023-07-25T23:59:59.999Z"
"2023-07-24T00:00:00.000Z";"2023-07-24T23:59:59.999Z";"2023-07-24T00:52:00.000Z";"2023-07-24T10:01:00.000Z";65.0229673473;65.2431688828;62.3941290081;63.5256765415;54202659.22732326;915297643.041211;"2023-07-24T23:59:59.999Z"
"2023-07-23T00:00:00.000Z";"2023-07-23T23:59:59.999Z";"2023-07-23T19:16:00.000Z";"2023-07-23T00:18:00.000Z";64.4244686224;65.8502219932;64.2644522315;65.0269632104;36124704.329454966;941785024.8558885;"2023-07-23T23:59:59.999Z"
"2023-07-22T00:00:00.000Z";"2023-07-22T23:59:59.999Z";"2023-07-22T00:21:00.000Z";"2023-07-22T23:35:00.000Z";66.7769291365;67.227801072;64.0260825546;64.4212140605;41978479.913799964;932988635.6559417;"2023-07-22T23:59:59.999Z"
"2023-07-21T00:00:00.000Z";"2023-07-21T23:59:59.999Z";"2023-07-21T03:58:00.000Z";"2023-07-21T00:41:00.000Z";65.0594715841;67.4984436162;64.622733675;66.7798078278;66683307.17650655;967320129.2831081;"2023-07-21T23:59:59.999Z"
"2023-07-20T00:00:00.000Z";"2023-07-20T23:59:59.999Z";"2023-07-20T06:10:00.000Z";"2023-07-20T09:06:00.000Z";64.0749911232;65.3464815945;63.7343628401;65.0545666735;69796487.33608276;936554963.6137296;"2023-07-20T23:59:59.999Z"
"2023-07-19T00:00:00.000Z";"2023-07-19T23:59:59.999Z";"2023-07-19T05:55:00.000Z";"2023-07-19T09:06:00.000Z";64.1409374084;65.4280038635;63.6210122929;64.0771922637;51844445.074823454;926362557.8005546;"2023-07-19T23:59:59.999Z"
"2023-07-18T00:00:00.000Z";"2023-07-18T23:59:59.999Z";"2023-07-18T01:38:00.000Z";"2023-07-18T17:31:00.000Z";66.8343707611;67.1836777071;63.3465940996;64.1404817324;66218529.13705474;928393077.958485;"2023-07-18T23:59:59.999Z"
