Date,Open,High,Low,Close,Adj Close,Volume
2021-04-02,12.632657,14.050051,12.455454,14.001160,14.001160,409396196
2021-04-03,13.997940,14.065692,12.540805,12.650926,12.650926,366596017
2021-04-04,12.647246,13.238000,12.539772,13.020194,13.020194,251590618
2021-04-05,13.019245,13.246679,12.595268,12.733779,12.733779,248697478
2021-04-06,12.745392,13.488225,12.553075,12.941194,12.941194,298590160
2021-04-07,12.927543,13.050203,11.385026,11.688964,11.688964,333379077
2021-04-08,11.702278,12.283506,11.614091,12.101153,12.101153,179437379
2021-04-09,12.102330,12.944164,12.077530,12.231130,12.231130,240826324
2021-04-10,12.226849,12.738578,11.845602,12.185940,12.185940,214236517
2021-04-11,12.194413,12.232720,11.795440,11.946962,11.946962,210138441
2021-04-12,11.950372,13.790678,11.710361,13.486091,13.486091,759170198
2021-04-13,13.471486,13.820150,12.858575,13.257297,13.257297,437473508
2021-04-14,13.254702,14.764974,13.110073,14.672779,14.672779,693787031
2021-04-15,14.640787,15.268502,14.395029,14.715942,14.715942,457378226
2021-04-16,14.683514,14.693403,13.184336,13.616515,13.616515,448340323
2021-04-17,13.589318,14.072362,13.003932,13.370338,13.370338,315288602
2021-04-18,13.368791,13.538874,9.547911,11.728080,11.728080,1012975451
2021-04-19,11.718003,11.954777,9.873214,10.131116,10.131116,567834343
2021-04-20,10.088915,10.610911,9.200652,10.559931,10.559931,442819823
2021-04-21,10.558682,11.207233,9.858731,10.382711,10.382711,402623675
2021-04-22,10.346889,11.916932,10.029271,10.278852,10.278852,595293772
2021-04-23,10.260352,10.480778,8.462150,9.766799,9.766799,574320066
2021-04-24,9.775982,9.775982,8.717329,8.836001,8.836001,238299257
2021-04-25,8.845777,9.625080,8.554463,9.036131,9.036131,243751337
2021-04-26,9.066049,10.308053,9.013385,10.070945,10.070945,319126777
2021-04-27,10.061877,11.941325,9.891927,11.788779,11.788779,506742087
2021-04-28,11.809444,12.031952,10.738897,11.766790,11.766790,480476037
2021-04-29,11.791293,12.258277,11.201805,11.577861,11.577861,420050650
2021-04-30,11.585599,12.203461,11.393949,11.948150,11.948150,278448669
2021-05-01,11.944332,12.602977,11.869412,12.304580,12.304580,284083321
2021-05-02,12.288463,12.356444,11.451228,11.557091,11.557091,305986464
2021-05-03,11.558403,12.335603,11.520741,11.940614,11.940614,394003726
2021-05-04,11.928464,11.982444,10.504037,10.579112,10.579112,442581551
2021-05-05,10.552603,12.055177,10.430276,11.968778,11.968778,364909640
2021-05-06,11.965709,14.052564,11.642497,13.652807,13.652807,1149085738
2021-05-07,13.686874,14.737196,12.631802,13.013541,13.013541,881762668
2021-05-08,12.994349,13.799449,12.728355,13.381931,13.381931,430975119
2021-05-09,13.412581,13.569464,12.563822,12.751749,12.751749,391855873
2021-05-10,12.740866,13.706227,10.668730,11.401704,11.401704,656061906
2021-05-11,11.401709,12.592133,11.027040,12.551949,12.551949,470410326
2021-05-12,12.559569,15.202954,12.051436,12.051436,12.051436,1523390534
2021-05-13,12.296531,13.879799,11.495598,12.209685,12.209685,928043848
2021-05-14,12.222910,15.650255,12.160716,15.254042,15.254042,966746985
2021-05-15,15.284043,15.598817,13.288883,13.320262,13.320262,844720422
2021-05-16,13.316582,14.524962,12.361112,13.618580,13.618580,672548886
2021-05-17,13.631253,15.021240,11.870876,13.278431,13.278431,934571777
2021-05-18,13.283367,18.422688,13.229633,17.540428,17.540428,1735561822
2021-05-19,17.596642,17.953110,8.503042,10.932130,10.932130,2235562311
2021-05-20,10.814110,13.945785,9.509764,12.437166,12.437166,1308960467
2021-05-21,12.386064,13.400234,8.537227,10.465474,10.465474,997487669
2021-05-22,10.486503,10.559354,8.227394,9.086706,9.086706,813381184
2021-05-23,9.102942,9.416990,5.206880,7.406921,7.406921,1390328263
2021-05-24,7.403285,10.041975,7.362349,9.789875,9.789875,1012189519
2021-05-25,9.803992,10.344320,7.886214,10.018084,10.018084,921148385
2021-05-26,10.010171,11.091773,9.506411,11.031134,11.031134,816820301
2021-05-27,11.033353,11.033353,9.527063,9.901455,9.901455,440272115
2021-05-28,9.930000,10.157326,8.237007,8.701332,8.701332,452329830
2021-05-29,8.697439,9.346620,7.907894,8.243966,8.243966,322125942
2021-05-30,8.232974,9.133577,7.892306,8.894206,8.894206,339080949
2021-05-31,8.887340,10.250046,8.275415,10.239903,10.239903,444776234
2021-06-01,10.199706,10.357937,9.302556,9.866361,9.866361,306777575
2021-06-02,9.864810,10.616712,9.534737,10.276854,10.276854,294218582
2021-06-03,10.278605,11.080351,10.051333,10.880835,10.880835,270861536
2021-06-04,10.906895,10.906895,9.391705,9.728126,9.728126,284442103
2021-06-05,9.744254,10.334488,9.097582,9.503387,9.503387,289540722
2021-06-06,9.513783,9.776418,9.324579,9.491960,9.491960,153001796
2021-06-07,9.490348,9.727329,8.380090,8.403886,8.403886,228118368
2021-06-08,8.427417,8.642072,7.488482,8.316019,8.316019,315232866
2021-06-09,8.284823,8.651516,7.801244,8.651516,8.651516,290240241
2021-06-10,8.661430,8.689071,7.569264,7.722117,7.722117,207393932
2021-06-11,7.731468,7.843264,6.869391,7.070212,7.070212,185449323
2021-06-12,7.072921,7.072921,6.316812,6.482021,6.482021,241719907
2021-06-13,6.471760,7.289315,6.405007,7.146015,7.146015,183765116
2021-06-14,7.129003,7.787661,6.939512,7.174591,7.174591,178296069
2021-06-15,7.608800,7.951972,7.377657,7.701908,7.701908,237899287
2021-06-16,7.516013,7.516013,6.813936,7.065422,7.065422,180368709
2021-06-17,7.067907,7.614226,6.907799,7.101573,7.101573,163798722
2021-06-18,7.110664,7.122278,6.385940,6.589151,6.589151,152761128
2021-06-19,6.605686,6.734217,6.307838,6.338711,6.338711,113472699
